person_id,base_name,사단,n_total,n_indo,n_anchors,인도철학_집중도,top_journals
김선근,김선근,김선근,21,12,12,57.1,인도철학:12; 한국교수불자연합학회지:5; 한국불교학:4
이거룡,이거룡,김선근,44,9,9,20.5,인도철학:9; 남아시아연구:9; 동아시아불교문화:7; 한국불교학:5
서병진,서병진,김선근,4,1,1,25.0,정토학연구(淨土學硏究):2; 인도철학:1; 한국불교학:1
강종원,강종원,김선근,1,1,1,100.0,인도철학:1
김호성,김호성,김호성,71,19,19,26.8,인도철학:19; 보조사상:12; 불교학보:7; 불교연구:7
박수영,박수영,김호성,11,4,4,36.4,인도철학:4; 인도연구:3; 남아시아연구:2; 한국불교학:1
김재권,김재권,서성원,16,9,9,56.2,인도철학:9; 철학연구:1; 2016년도 추계 학술대회:1; 동아시아불교문화:1
심재관,심재관,서성원,20,7,7,35.0,인도철학:7; 무형문화연구:4; 종교와 문화:2; 불교학연구:2
서성원,서성원,서성원,6,6,6,100.0,인도철학:6
김성철#중관,김성철,서성원,36,6,6,16.7,한국불교학:10; 불교학연구:8; 불교학보:7; 인도철학:6
원혜영,원혜영,서성원,46,5,5,10.9,한국교수불자연합학회지:12; 인도철학:5; 원불교사상과 종교문화:5; 한국불교학:3
이필원,이필원,서성원,32,3,3,9.4,불교학보:5; 인도철학:3; 불교학연구:3; 禪文化硏究:2
이자랑,이자랑,서성원,53,3,3,5.7,불교학연구:9; 불교학보:8; 伽山學報:4; 한국불교학:4
백도수,백도수,서성원,22,3,3,13.6,인도철학:3; 동아시아불교문화:3; 한국불교학:2; 불교학보:2
최경아,최경아,서성원,14,2,2,14.3,불교연구:3; 인도철학:2; 동아시아불교문화:2; 禪文化硏究:1
김유미,김유미,서성원,2,2,2,100.0,인도철학:2
안승준,안승준,서성원,1,1,1,100.0,인도철학:1
전재성,전재성,서성원,2,1,1,50.0,인도철학:1; 보조사상:1
강신보,강신보,서성원,4,1,1,25.0,禪學(선학):2; 인도철학:1; 한국불교학:1
서행정,서행정,원의범,9,4,4,44.4,남아시아연구:5; 인도철학:4
강희숙,강희숙,원의범,1,1,1,100.0,인도철학:1
곽만연,곽만연,원의범,11,1,1,9.1,윤리교육연구:2; 불교연구:2; 철학논총:2; 인도철학:1
전치수,전치수,원의범,1,1,1,100.0,인도철학:1
이호근,이호근,이기영,10,6,6,60.0,인도철학:6; 불교연구:4
문을식,문을식,이기영,25,5,5,20.0,남아시아연구:6; 요가학연구:6; 인도철학:5; 불교연구:5
정호영,정호영,이기영,9,1,1,11.1,불교연구:6; 인도철학:1; 2016년도 추계 학술대회:1; 불교학연구:1
이은덕,이은덕,이기영,1,1,1,100.0,인도철학:1
이지수,이지수,이지수,23,20,20,87.0,인도철학:20; 보조사상:1; 언어학:1; 불교학연구:1
김진영,김진영,이지수,45,12,11,26.7,인도철학:12; 철학논집:6; 남아시아연구:4; 종교교육학연구:4
김성철#유식,김성철,이지수,32,7,7,21.9,불교학연구:9; 인도철학:7; 불교학리뷰:4; 보조사상:3
이영진,이영진,이지수,28,6,6,21.4,불교학연구:11; 인도철학:6; 불교학리뷰:3; 불교연구:3
박영길,박영길,이지수,26,6,6,23.1,요가학연구:11; 인도철학:6; 불교학리뷰:4; 동서인문:2
임승택,임승택,이지수,43,5,5,11.6,불교학연구:13; 보조사상:7; 인도철학:5; 철학연구:5
나혜숙,나혜숙,이지수,9,3,3,33.3,인도철학:3; 종교연구:2; 원불교사상과 종교문화:1; 철학논집:1
황정일,황정일,이지수,18,3,3,16.7,보조사상:7; 동아시아불교문화:4; 인도철학:3; 禪文化硏究:1
남승호,남승호,이지수,3,2,2,66.7,인도철학:2; 무형문화연구:1
이경희,이경희,이지수,7,1,1,14.3,미술사학:2; 한국불교학:2; 보조사상:1; 인도철학:1
이영석,이영석,이지수,4,1,1,25.0,인도철학:1; 보조사상:1; 대각사상:1; 종교연구:1
정승석,정승석,정승석,62,42,42,67.7,인도철학:42; 한국불교학:4; 불교연구:3; 불교학보:3
박기열,박기열,정승석,26,11,11,42.3,인도철학:11; 불교연구:7; 불교학연구:2; 동아시아불교문화:2
김미숙#자이나,김미숙,정승석,23,10,10,43.5,인도철학:10; 동아시아불교문화:3; 인도연구:2; 인문사회 21:2
류현정,류현정,정승석,14,9,9,64.3,인도철학:9; 불교학리뷰:2; 불교연구:2; 한국불교학:1
양영순,양영순,정승석,30,9,9,30.0,대한조선학회 논문집:10; 인도철학:9; 禪文化硏究:2; 원불교사상과 종교문화:2
김재민,김재민,정승석,15,9,9,60.0,인도철학:9; 불교학연구:3; 인도연구:2; 보조사상:1
성청환,성청환,정승석,24,9,9,37.5,인도철학:9; 한국불교학:3; 정토학연구(淨土學硏究):3; 동아시아불교문화:3
최지연,최지연,정승석,19,8,8,42.1,인도철학:8; 보조사상:3; 불교연구:2; 문학과 종교:1
심준보,심준보,정승석,27,7,7,25.9,요가학연구:8; 인도철학:7; 남아시아연구:4; 인도연구:2
강형철,강형철,정승석,26,7,7,26.9,인도철학:7; 동아시아불교문화:5; 한국불교학:3; 남아시아연구:2
박문성,박문성,정승석,10,7,7,70.0,인도철학:7; 가톨릭신학과사상:2; 인간연구:1
방정란,방정란,정승석,15,6,6,40.0,인도철학:6; 불교학연구:2; 불교학밀교학연구:2; 불교학리뷰:1
안필섭,안필섭,정승석,7,6,6,85.7,인도철학:6; 요가학연구:1
남수영,남수영,정승석,24,4,4,16.7,불교학연구:5; 인도철학:4; 보조사상:4; 한국불교학:2
김현덕,김현덕,정승석,14,4,4,28.6,인도철학:4; 불교학연구:4; 보조사상:1; 요가학연구:1
김수연,김수연,정승석,9,2,2,22.2,도교문화연구:4; 열상고전연구:2; 인도철학:2; 한국불교사연구:1
최윤제,최윤제,정승석,2,2,2,100.0,인도철학:2
박경미,박경미,정승석,5,2,2,40.0,인도철학:2; 한국불교학:2; 한국불교사연구:1
손경록,손경록,정승석,3,2,2,66.7,인도철학:2; 보조사상:1
장재진,장재진,정승석,26,1,1,3.8,불교학보:6; 동아시아불교문화:5; 동북아 문화연구:4; 한국불교학:4
김영호,김영호,정승석,1,1,1,100.0,인도철학:1
국광희,국광희,정승석,2,1,1,50.0,인도철학:1; 불교연구:1
최현성,최현성,정승석,2,1,1,50.0,인도철학:1; 宗學硏究:1
임혜정,임혜정,정승석,2,1,1,50.0,인도철학:1; 원불교사상과 종교문화:1
황유원,황유원,정승석,3,1,1,33.3,무형문화연구:2; 인도철학:1
김경춘,김경춘,정승석,2,1,1,50.0,인도철학:1; 禪學(선학):1
고대석,고대석,정승석,1,1,1,100.0,인도철학:1
이영일,이영일,정승석,2,1,1,50.0,인도철학:1; 남아시아연구:1
차유만,차유만,정승석,2,1,1,50.0,인도철학:1; 동아시아불교문화:1
임주영,임주영,정승석,1,1,1,100.0,인도철학:1
이태승,이태승,정태혁,28,19,19,67.9,인도철학:19; 불교연구:4; 동아시아불교문화:2; 한국어학:1
주명철,주명철,정태혁,15,7,7,46.7,인도철학:7; 보조사상:2; 한국불교학:2; 禪文化硏究:2
김재천,김재천,정태혁,10,3,3,30.0,대순사상논총:6; 인도철학:3; 철학∙사상∙문화:1
이태영,이태영,정태혁,3,2,2,66.7,인도철학:2; 禪學(선학):1
정태혁,정태혁,정태혁,1,1,1,100.0,인도철학:1
황순일,황순일,황순일,35,13,13,37.1,인도철학:13; 불교학보:8; 불교학연구:3; 한국불교학:3
강대공,강대공,황순일,8,2,2,25.0,인도철학:2; 한국교수불자연합학회지:2; 인도연구:1; 한국태국학회논총:1
박하정,박하정,황순일,2,1,1,50.0,인도철학:1; 불교학연구:1
이견명,이견명,황순일,1,1,1,100.0,인도철학:1
한재희,한재희,한재희,9,1,1,11.1,불교학보:3; 보조사상:2; 인도철학:1; 동아시아불교문화:1
황용식,황용식,서경수,8,5,5,62.5,인도철학:5; 종교연구:1; 남아시아연구:1; 원불교사상과 종교문화:1
