artiId,pub_year,pub_mon,통권,volume,categories,title_ko,title_en,authors
ART000940370,2004,02,16,,철학,사념처의 심리적 지평에 관한 일고찰-5가지 장애(pa~ncaniivara.naani)의 문제를 중심으로,A Study on the Mental State of Cattaaro Satipa.t.thaa.naa: Focusing on the Problem of 'Five Hindrances'(pa~ncaniivara.naani),임승택(동국대학교)
ART000978562,2004,08,17,,철학,크리쉬나무르티에 있어서의 생각(thoughts)를 살펴봄(1),Looking into Thought in Krishnamurti (I),황용식(서울불교대학원대학교)
ART001871426,2014,04,40,,철학,아빠랄라 나가(Apalāla nāga) 이야기를 통해 본 불교 내러티브 연구,A Study on the Narrative of Apalāla in the Mūlasarvāstivādavinayabhaiṣajyavastu,박청환(중앙승가대학교)
ART001871676,2014,04,40,,철학,파야시 논쟁 문헌에 나오는 도박 비유를 중심으로 분석한 고대 인도의 놀이 문화,Analysis Of The Ancient Indian Playing Culture With Gambling Metaphor In The Literature Of Pāyāsi Argument,김미숙(동국대학교)
ART001873841,2014,04,40,,철학,아트만(ātman)과 푸루샤(puruṣa) 개념의 교차점,The Intersection between Ātman and Puruṣa,강형철(동국대학교)
ART001830188,2013,12,39,,철학,"아유르베다, 요가, 딴뜨라에서 몸(Śarīra)의 구원론적 의미_5종 조대요소 병렬구조, 5겹 덮개 중층구조, 남성-여성 양극구조를 중심으로_","The Salvational Meaning of the Śarīra (Body) represented in Āyurveda, Yoga and Tantra:Focusing on the Parallel Structure of Five Elements(Pañca-mahābhūta), the Multi-layer Structure of Five Covers(Pañca-kośa) and the Bipolar Structure of Śiva-Śakti",이거룡(선문대학교)
ART001580441,2011,08,32,,철학,"샹까라에서 자아와 타자, 그리고 경계의 신","The Self, the Other, and Liminal God in Śaṅkara",박효엽(경북대학교)
ART001580467,2011,08,32,,철학,불교에서 업의 결정성과 지각작용,Perception and Karma in Buddhism with Reference to the Problems around the Determinism,안성두(서울대학교)
ART001580481,2011,08,32,,철학,유가행파의 ‘여래장’ 개념 해석 Ⅱ,On the Re-interpretation of the Term 'Tathāgatagarbha' in the Early Yogācāra School,김성철(금강대학교)
ART001580488,2011,08,32,,철학,구사론주(kośakāra) 세친(Vasubandhu)과 『능가경』(Laṅkāvatārasūtra),Kośakāra Vasubandhu and the Laṅkāvatārasūtra,박창환(금강대학교)
ART001687652,2012,08,35,,철학,아함에 나타난 몸 관찰 수행방법의 순차성,The Order of Body Observing Meditation in Agama,강명희(동국대학교)
ART001687655,2012,08,35,,철학,사띠(sati)와 사마디(samādhi)의 중도적 구조에 대한 연구_초기불교와 현대심리학을 중심으로_,A Study on Middle-Path Structure in Sati and Samādhi,김범진(서울불교대학원대학교)
ART001687661,2012,08,35,,철학,힌두교와 불교에서 방위와 수호신의 관계 비교,A Study of the Comparison of Relationship between World-protectors in Hinduism and Buddhism,변순미(동국대학교)
ART001687662,2012,08,35,,철학,사고(思考)에 대한 붓다와 알버트 엘리스(Albert Ellis)의 견해,The Buddha's and Albert Ellis' View of Thinking,안양규(동국대학교)
ART001658527,2012,04,34,,철학,요가 철학에서 비판한 불교의 실체 : 요가주 제3장을 중심으로,,정승석(동국대학교)
ART001658543,2012,04,34,,철학,삶의 질적 향상과 요가 철학의 고행주의 : 고전 요가 8지 중 권계를 중심으로,Improvement in the Quality of Life and Asceticism of Yoga Philosophy,안필섭(동국대학교)
ART001658551,2012,04,34,,철학,석가족 몰살의 내러티브 고찰 : 根本說一切有部毘奈耶雜事를 중심으로,A Study on the Narrative of the Śākyas' massacre by Virūḍhaka in the Mūlasarvāstivādavinayakṣudrakavastu,박청환(중앙승가대학교)
ART001658560,2012,04,34,,철학,"사대요소설과 명상수행, 그리고 수행의 효과 : MN. No. 62 Mahārāhulovādasutta를 중심으로",The Theory of the Four Great Elements Concerning Meditation and the Effects of Practice,이필원(동국대학교)
ART001172617,2004,08,17,,철학,중론에 나타난 용수의 열반관에 대한 고찰,A Study on the View of Naagaarjuna's Nirvaa.na in the Mdhyamaka-Kaarikaa,문을식(서울산업대학교)
ART001172672,2004,08,17,,철학,샹까라와 수레쉬와라에 있어서 '연속과 불연속의 방법'(anvayavyatireka-nyaaya),The Method of 'Continuity and Discontinuity'(anvayavyatireka) in 'Sa'nkara and Sure'svara,박효엽(경북대학교)
ART001172674,2005,02,18,,철학,티베트 불교에서의 여래장 해석__ 自空說과 他空說의 차이를 중심으로,Tathgatagarbha Interpretations in the Tibetan Buddhism : with Special Reference to the Rang stong-gZhan stong Differences,안성두(서울대학교)
ART001172676,2005,08,19,,철학,인도의 天觀 연구__ 生天(svarga)을 중심으로,A Study of Views on Heavens in India: with special reference to ‘svarga’,김재천(대진대학교)
ART001172677,2005,08,19,,철학,유식문헌에서의 三性說의 유형과 그 해석,The Types of the Trisvabh？va theory and their Interpretations: in the Early Indian Yog？c？ra Literatures,안성두(서울대학교)
ART001172737,2006,02,,20,철학,요가행자의 證知의 인식대상,On the Object of Yogipratyak？a,우제선(동국대학교)
ART001172742,2006,08,,21,철학,인도 전통 설화와의 비교를 통해 본 불교 설화의 세계관 고찰,Buddhist World View in Terms of the Comparative Study of Buddhist and Traditional Indian Folk Tale,허인섭(덕성여자대학교)
ART001172789,2006,08,,21,철학,"제식의 잃어버린 머리신화, Pravargya祭",A Study on the Pravargya as the Missing Head Myth of Makha,김진영(동국대학교)
ART001172791,2006,08,,21,철학,보살윤리의 성격과 그 기준 -『보살지』를 중심으로,The Characteristics and the Criterion of the Bodhisattva-Ethics in the Bodhisattvabh？mi,안성두(서울대학교)
ART001172792,2006,08,,21,철학,離一多性證因과 관련된 因의 三相에 대하여,On The Three Characters of The Reason of Ek？nekasvabh？vaviyoga,이태승(위덕대학교)
ART000989593,2005,02,18,,철학,A？oka王의 淨土觀,King Asoka's Philosophy of Pure Land Buddhism,서병진(동국대학교)
ART000995881,2006,02,,20,철학,대승 大般涅槃經의 수행관.,The Practical theories of the Mah？y？na Mah？parinirv？？as？tra,이법산(동국대학교)
ART000995883,2005,08,19,,철학,초기불교 텍스트에서 나타난 상수멸(sa？？？vedayitanirodha)의 불일치와 모순,Divergencies and Inconsistencies of the ‘Sa？？？vedayitanirodha’ in early Buddhist texts,이영진(중앙승가대학교)
ART000995884,2005,08,19,,철학,공동체를 위한 네 가지 항목__ 초기 열반경에서 찬나 범단법의 의의,Four Conditions for the Community of the Early Buddhism,원혜영(연세대학교)
ART000996302,2005,02,18,,철학,불정존승다라니경의 의미 해석__ 망월사 진언집의 실담범자를 중심으로,Semantic Interpretation of Sarvadurgatipari？odhana-u？？i？avijayadh？ra？？ : as a Principal Mantra Anthology from Mangweol Temple,변순미(장경도량고려대장경연구소)
ART000996303,2005,02,18,,철학,설일체유부(Sarv？stiv？din)에서 개념(sa？j？？)과 명칭(n？man),Conception(sa？j？？)and name(n？man) in the Sarv？stiv？dins,황순일(동국대학교)
ART000996304,2005,02,18,,철학,티베트 불교의 사원교육제도,The Monastic Education System in Tibetan Buddhism,안병남
ART001801184,2013,08,38,,철학,출가자의 식생활과 현대의 웰빙 __사찰음식의 보급과 관련하여__,A Study on Buddhist Monks’ Dietary Life in Relation to the Contemporary Culture of Well-Being,이자랑(동국대학교)
ART001801196,2013,08,38,,철학,니야야ㆍ상키야의 감관도달설에 관한 몇 가지 논의들,Several Cases of Doctrinal Arguments for the Prāpyakārin in Nyāya and Sāṃkhya,강형철(동국대학교)
ART001801200,2013,08,38,,철학,아드와이따 베단따의 ‘보기’ 망각에 관하여,On the Oblivion of ‘Seeing’ in Advaita Vedānta,박효엽(경북대학교)
ART001764347,2013,04,37,,철학,베다 초기에 나타난 죽음(mṛtyu) 개념의 기원과 전개 양상,A Study on Death and Afterlife Conceptions in the Early Vedas,김진영(한림대학교)
ART001764348,2013,04,37,,철학,나라다의 박띠 수행에 대한 고찰__고전 요가와 대비를 중심으로__,A Study on Narada's Bhakti-Yoga Forcusing on Classical Yoga,주명철(동방대학원대학교)
ART001764350,2013,04,37,,철학,초기 유가행파의 <입무상방편상>의 구조와 그 사상적 의의,On the Structure and Philosophical Significance of Asallakṣaṇānupraveśopāyalakṣaṇa in the Early Yogācāra's School,김재권(동국대학교)
ART001764351,2013,04,37,,철학,여래장사상에서 자아와 무아,Ātman and Anātman in the Tathāgatagarbha Tought,김성철(금강대학교)
ART001764352,2013,04,37,,철학,삶과 죽음에 대한 불교 딴뜨리즘의 과제,Development of Buddhist Tantrism Concern about Life and Death,정성준(동국대학교)
ART001830073,2013,12,39,,철학,아파다나 카라카(apādāna-kāraka)에 대한 파니니(Pāṇini)의 정의,Apādāna-kāraka in the Aṣṭādhyāyī,김현덕(동국대학교)
ART001830128,2013,12,39,,철학,『하타(요가)쁘라디삐까』Haṭha(yoga)pradīpikā의 시형론 I_389송에 대한 운율 분석_,On The Prosody of Haṭha(yoga)pradīpikā (I),박영길(금강대학교)
ART001830136,2013,12,39,,철학,자이나의 Pradeśa 개념,The Concept of Jaina Pradeśa,최지연(동국대학교)
ART001830200,2013,12,39,,철학,번뇌(煩惱)와 길상(maṅgala)을 통해 본 108법수의 기원과 발전,The Origin and development of the number 108 through afflictions(kleśa) and auspiciousness(maṅgala),강대공(동국대학교)
ART001830611,2013,12,39,,철학,초기 상좌부 불교의 식문화 고찰,Food Culture in Early and Theravāda Buddhism: From the Perspective of the Middle Path,김한상(동국대학교)
ART001830615,2013,12,39,,철학,‘자기인식’에 관한 유식학파와 중관학파의 논쟁,The Debate of Yogācāra and Madhyamaka on Self-cognition,김성옥(동국대학교)
ART001830621,2013,12,39,,철학,선바라밀(dhyānapāramitā)의 예비단계_<대지도론>을 중심으로_,A Study on the Preliminary for the Perfection of Absorption(dhyānapāramitā) in the Mahāprajñāpāramitā-śāstra,김홍미(동국대학교)
ART001830626,2013,12,39,,철학,불교 문헌에 나오는 음료용(飮料用) 장류(漿類) 음식 분석,An Analysis of the Beverages of Buddhist Food in Buddhist Cannon of a Chinese Version,김미숙(동국대학교)
ART001830631,2013,12,39,,철학,행상(行相)에 대한 규기의 해석,Kuiji[窺基]'s Interpretation on Ākāra[行相],박인성(동국대학교)
ART001830637,2013,12,39,,철학,Āryabhaṭa의 제곱근 풀이법_Āryabhaṭīya를 중심으로_,The Square Roots Computation of Āryabhaṭa: Focused on the Āryabhaṭīya,차유만(동국대학교) ; 정승석(동국대학교)
ART001618771,2011,12,33,,철학,Caraka-saṃhitā에 나타난 윤회관,The Notion of Transmigration in Caraka-saṃhīta,임주영(동국대학교)
ART001618778,2011,12,33,,철학,브리하다란야카 우파니샤드에 나타난 브라흐마바디니(Brahmavādinī)에 대한 고찰,An Examination of ‘Brahmavādinī’ in the Bṛhadāraṇyaka Upaniṣad,성청환(동국대학교)
ART001618804,2011,12,33,,철학,설화와 비유에 나타난 indriya와 manas : 초기 불전과 마하바라타의 상키야설을 중심으로,Indriya and Manas in Narratives and Similes,강형철(동국대학교)
ART001618826,2011,12,33,,철학,빨리(Pāli) 문헌에 나타난 성인(聖人)의 의미와 그 해석에 대한 일고찰,The meaning and it’s interpretation of Ariyapuggala in Pāli Nikāya,서현희(서울불교대학원대학교)
ART001618831,2011,12,33,,철학,암 진단을 받은 생존불자의 삶의 질과 사회적 지지에 대한 연구 : 불교사회복지적 관점에서 본 삶의 질 향상방안을 중심으로,Quality of life and social support of the buddhist patients with cancer,김학주(동국대학교) ; 임정원(Case Western Reserve University) ; 신성현(동국대학교)
ART001726593,2012,12,36,,철학,인도 철학에서 자아 개념의 공유와 차별 : 베단타의 일원론과 상키야의 이원론을 중심으로,Common and Different Ideas of the Self in Indian Philosophy: Based on the Monism of Vedānta and the Dualism of Sāṃkhya,정승석(동국대학교)
ART001726596,2012,12,36,,철학,브라흐마 수뜨라 주석과 논증의 인도적인 고유성,Brahmasūtra-bhāṣyam and Peculiarity of Indian Arguments,박효엽(경북대학교)
ART001687658,2012,08,35,,철학,바가바드기타 제12장의 난문(難文)에 대한 이해_9～12송을 중심으로_,An Understanding of Difficult Verse in the Chapter 12 in Bhagavadgītā : Focusing on the Verses 9～12,김호성(동국대학교)
ART001687660,2012,08,35,,철학,사성제와 연기법의 결합에 대하여_초기불전을 중심으로_,On the Combination of the Four Noble Truths and the Dependent Origination,김홍미(동국대학교)
ART001687663,2012,08,35,,철학,玄奘의 唯識比量 論難에 대한 中觀學的 考察,A Study of the Hyun-Jang's Vijñāptimātra-Anumāna from the View of Indian Madhyamaka Thought,이태승(위덕대학교)
ART001687664,2012,08,35,,철학,요가 철학에서 비판한 절멸론자의 다의성,Multiple Implications of Vaināśika Criticized in Yoga Philosophy,정승석(동국대학교)
ART001580452,2011,08,32,,철학,슈타이너의 인지학에 스며 있는 인도철학적 요소들,The Elements of Indian Philosophy that are Permeated to Steiner's Anthroposophie,박애란(동국대학교)
ART001580460,2011,08,32,,철학,불교적 고관(苦觀)의 추이와 의의,Transition and Significance of the Buddhist View of Suffering,정승석(동국대학교)
ART001580473,2011,08,32,,철학,高麗大藏經에 나타난 悉曇梵字에 대하여,A Study on Sil-dam-bum-ja Represented in the Tripiṭka Koreana,이태승(위덕대학교)
ART001580484,2011,08,32,,철학,율장 「건도부」 분석에 의한 승가의 지도자상 정립,"The Establishment of an Ideal Leadership Structure for the Saṃgha through the Analysis of Khandhaka, Vinayapiṭaka",이자랑(동국대학교)
ART001580494,2011,08,32,,철학,돈황문헌의 편집 법식에 관한 조사,A Research in Dunhuang Manuscripts of Editorial Form,원혜영(고려대장경연구소)
ART001511036,2010,12,30,,철학,比丘와 苾芻를 둘러싼 빨리어와 범어의 다양한 뉘앙스,Various Nuance on the Word Bigu(比丘) and Pilchu(苾芻),황순일(동국대학교)
ART001511038,2010,12,30,,철학,실유론자들의 불상부단설에 대한 용수의 비판,Nāgārjuna's Critique on the Theory of Non-permanence and Non-destruction of Dravya-sat vādin,남수영(중앙승가대학교)
ART001511048,2010,12,30,,철학,샹까라에서 덧놓음(가탁)의 의미와 의의,The Meaning and Significance of Adhyāsa in Śaṅkara,박효엽(경북대학교)
ART001511052,2010,12,30,,철학,요가난다의 크리야 요가에 대한 일고찰 : 고전 요가와 대비를 중심으로,Study on Yogananda’s Kriya Yoga: forcusing on Classical Yoga,김재민(동국대학교)
ART001658520,2012,04,34,,철학,대상인식과 자기인식으로서 지각과 추리에 관한 다르마키르티의 논증,Dharmakirti's Demonstration on Perception and Inference as Cognition of Object and Self Cognition,권서용(부산대학교)
ART001658545,2012,04,34,,철학,阿含 經典에 보이는 部派 所属의 판단 기준으로서의 律的 요소 : 六諍本을 一例로,Vinaya Elements in Āgama Texts as a Criterion of the School Affiliation : Taking the Six vivādamūlas as an Example,정진일(괴팅대)
ART001658554,2012,04,34,,철학,상좌부의 빤냐띠와 중관의 시설 : 상좌부와 중관의 언어관 비교,Paññatti and Prajñapti in Abhidhamma and Madhyamaka,윤희조(서울불교대학원대학교)
ART001658563,2012,04,34,,철학,동아시아적 전환 시발점으로서의 돈황 불교에 대한 고찰,Study on the Dunhuang Buddhism as East Asian changing start point,한지연(금강대학교)
ART001172673,2005,02,18,,철학,한역？티베트어역 제명을 산스크리트어 원전 제명과 대조 연구,A Contrastive Study of the Titles of Classic Chinese and Tibetan Translations with Those of Original Sanskrit Texts,최종남(고려대학교)
ART001172738,2006,02,,20,철학,자이나교의 상대주의적 관점론,The Relativistic Nayav？da of Jainism,김미숙(강릉대학교)
ART001172739,2006,02,,20,철학,달라이 라마의 현대적 윤리의 정초에의 접근(I),Dalai Lama's Approach to the Foundation of Contemporary Ethics(I),황용식(서울불교대학원대학교)
ART001172741,2006,08,,21,철학,"대승신화와 가상수행, 그리고 불교의 미래","The Myths of Mah？y？na, Image Practice and the Future of Buddhism",김성철(동국대학교)
ART001223980,2008,02,24,,철학,롤플레잉게임(RPG)상의 세계 경험_인도 이원론의 관점을 통해,The Experience of Virtual Reality in RPG(Role Playing Game),최지연(동국대학교)
ART001223981,2008,02,24,,철학,요가수트라 개시 선언의 해석학적 의미,The Hermeneutic Meaning of the Opening Statement in yogasutra,정승석(동국대학교)
ART001223984,2008,02,24,,철학,붓다가 설한 왓지국의 7불쇠법,Seven Conditions of the Welfare of a Community,원혜영(연세대학교)
ART001223985,2008,02,24,,철학,도취제로서의 소마(Soma) 연구의 의의,The Significance of Study on the Soma as an Entheogen,심준보(광주 가톨릭대학교)
ART001273058,2008,08,25,,철학,『중변분별론』에 있어서 삼성설의 구조적 특징,A structural feature of the Trisvabhāva Theory in the Madhyāntavibhāga,김재권(일본 龍谷大學 불교문화연구소)
ART001273062,2008,08,25,,철학,十住毘婆沙論에 나타난 재가보살과 출가보살의 계 연구,A Study on the Śīla of the Grhastha-bodhisattva and Pravarjita-bodhisattva be exposed on the Daśabhūmikavibhāsa,문을식(선문대학교)
ART001273065,2008,08,25,,철학,『하타요가쁘라디삐까』(HathayogapradIpika)에서 쁘라나야마(pranayama)의 의미와 실천법,The Methods and the Classifications of PrāNāyāma in HaThayogapradīpika,박영길(금강대학교)
ART001273067,2008,08,25,,철학,"인도어 접미사 -tā, -tva 등의 한역어 性에 관한 고찰 존재론적 함의의 변화를 중심으로",A Study on the Chinese translation of the Sanskrit suffix -tā and -tva,박정록(Univ. of Oxford)
ART001273069,2008,08,25,,철학,울너사본의 현황조사와 샘플링 작업,Stance examination and Sampling of the Woolner Collection and its Cataloguing,안성두(서울대학교)
ART001273071,2008,08,25,,철학,인성(人性)과 불성(佛性)의 비교,A Comparative Study on ‘Human Nature’(in the case of Confucianism) and ‘Buddha-nature’(in the case of Buddhism),유흔우(동국대학교)
ART001273072,2008,08,25,,철학,실담 범어의 음역과 원어,The Original Word and Transliteration of Sanskrit Called Siddham,정승석(동국대학교)
ART001320768,2009,02,26,,철학,두 유형의 出家와 그 정치적 含意 : 힌두교와 불교에서의 權力과 脫權力의 문제,Two Aspects of 'Leaving-home' and its Political implication: The relationship between Power and Non-Power within in Hinduism and Buddhism,김호성(동국대학교)
ART001320769,2009,02,26,,철학,아크바르(Akbar): 그의 탈이슬람적 정책에 대한 성격 분석,Akbar: Analysis of Nature on Akbar's Ab-Islamic Policies,이춘호(한국외국어대)
ART001320772,2009,02,26,,철학,金剛經의 생태학적 탐구,A Study on the eco-cultural sentiment among Buddhists,이법산(동국대학교)
ART001320774,2009,02,26,,철학,업과 윤회 사상의 일상적 수용 태도 : 삶과 죽음의 윤리적 극복 가능성,Everyday Life's Practical Receptive Attitude towards the Thought of Karman and Saṃsāra,허남결(동국대학교)
ART001320775,2009,02,26,,철학,아지비까(Ājīvika)를 중심으로 본 윤회와 행위이론의 인도적 기원,The Indian Origin of saṃsāra and karman from the light of the Ājīvika,황순일(동국대학교)
ART001320777,2009,02,26,,철학,『석보상절』의 기원정사 인연담에 관한 고찰,Study on the Constitution of Jetavana Vihāra Construction Story in Seokbosangjeol,김유미(동국대학교)
ART001320778,2009,02,26,,철학,사문유관의 만달라적 의미 : 존재론적 도식과 방위구조에 나타난 형이상학적 관점을 중심으로,A Comprehensive Study to the Four-doors' Encounter(四門遊觀) of Buddha's Life about its Maṇḍalic-meanings,최연철(동국대학교)
ART001320780,2009,02,26,,철학,삼국유사에 구사된 범어 음역의 원류,The Source of Transliterated Sanskrit Words Mentioned in the Samgukyusa,정승석(동국대학교)
ART001371005,2009,08,27,,철학,초기 유가행파의 ‘여래장(tathāgatagarbha)’ 개념 해석,On the Reinterpretation of the Term ‘Tathāgatagarbha’ in the early Yogācāra School,김성철(금강대학교)
ART001371039,2009,08,27,,철학,圓測 『해심밀경소』 티벳역의 성격과 의의 __「일체법상품」을 중심으로__,Significance of the Tibetan Translation of Won-Ch‘uk's Commentary on Saṃdhinirmocanasūtra: With Special Reference to the VI Chapter,안성두(서울대학교)
ART001371061,2009,08,27,,철학,빠알리 삼장의 스리랑카어 번역에 대한 연구 __붓다자얀띠(Buddha-Jayanti) 역경사업을 중심으로__,A study on the Buddha Jayanti Tripitaka Granthamala,정준영(서울불교대학원대학교)
ART000939938,2004,08,17,,철학,Understanding the Buddha-Method and Results,Understanding the Buddha-Method and Results,R.F.Gombrich(Oxford University)
ART000939939,2004,08,17,,철학,Organicismic Ethics-An Indian Spiritual Perspective,Organicismic Ethics-An Indian Spiritual Perspective,S.R.Bhatt(Delhi University)
ART000939940,2004,08,17,,철학,Contemporary World and Radhakrishnan's Diagnosis and Prescription,Contemporary World and Radhakrishnan's Diagnosis and Prescription,이지수(동국대학교)
ART000963016,2004,08,17,,철학,바가바드기타'를 읽는 샹카라의 호교론적 해석학,Sa'nkara's Apologetic Hermeneutics on the Bhagavadgiitaa,김호성(동국대학교)
ART000939679,2004,02,16,,철학,Bhagavad-Giitaa에 나타난 'karma-yoga'에 대한 간디의 해석,Gandhiji's Interpretation on Karma-Yoga of the Bhagavadgiitaa,김선근(동국대학교)
ART000939935,2004,08,17,,철학,고전요가의 부수적 좌법,The Attendant Aasanas of Classical Yoga,정승석(동국대학교)
ART000939936,2004,08,17,,철학,샹까라의 Avidyaa이론에 대한 라마누자의 비판,Raamaanuja's Criticism of 'Sa'nkara's Theory of Avidyaa,이거룡(선문대학교)
